source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_charisma,Charisma,CONSTRAINS,psi_mass_domination,Mass Domination,period of control,,worsens,read,PHB,115,MAJOR SCIENCES: Mass Domination,explicit_rule,spell-scan,optional,,,
abil_charisma,Charisma,FEEDS_INTO,psi_telepathic_projection,Telepathic Projection,cost of possession,,neutral,derived,PHB,116,MAJOR SCIENCES: Telepathic Projection,explicit_rule,spell-scan,optional,,,
abil_intelligence,Intelligence,CONSTRAINS,psi_mass_domination,Mass Domination,period of control,,worsens,read,PHB,115,MAJOR SCIENCES: Mass Domination,explicit_rule,spell-scan,optional,,,
abil_intelligence,Intelligence,FEEDS_INTO,psi_precognition,Precognition,accuracy,,neutral,derived,PHB,113,MINOR DEVOTIONS: Precognition,explicit_rule,spell-scan,optional,,,
abil_intelligence,Intelligence,FEEDS_INTO,psi_telepathic_projection,Telepathic Projection,cost of possession,,neutral,derived,PHB,116,MAJOR SCIENCES: Telepathic Projection,explicit_rule,spell-scan,optional,,,
abil_intelligence,Intelligence,GATES,psi_hypnosis,Hypnosis,who is subject,,enables,derived,PHB,113,MINOR DEVOTIONS: Hypnosis,explicit_rule,spell-scan,optional,,,
abil_intelligence,Intelligence,GATES,psi_telepathy,Telepathy,minimum intelligence,,enables,derived,PHB,116,MAJOR SCIENCES: Telepathy,explicit_rule,spell-scan,optional,,,
abil_strength,Strength,CONSTRAINS,psi_expansion,Expansion,bonus already held,,worsens,read,PHB,112,MINOR DEVOTIONS: Expansion,explicit_rule,spell-scan,optional,,,
abil_wisdom,Wisdom,CONSTRAINS,psi_mass_domination,Mass Domination,period of control,,worsens,read,PHB,115,MAJOR SCIENCES: Mass Domination,explicit_rule,spell-scan,optional,,,
abil_wisdom,Wisdom,FEEDS_INTO,psi_precognition,Precognition,accuracy,,neutral,derived,PHB,113,MINOR DEVOTIONS: Precognition,explicit_rule,spell-scan,optional,,,
abil_wisdom,Wisdom,FEEDS_INTO,psi_telepathic_projection,Telepathic Projection,cost of possession,,neutral,derived,PHB,116,MAJOR SCIENCES: Telepathic Projection,explicit_rule,spell-scan,optional,,,
class_cleric,Cleric,EXCLUDED_FROM,psi_expansion,Expansion,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_cleric,Cleric,EXCLUDED_FROM,psi_reduction,Reduction,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_fighter,Fighter,EXCLUDED_FROM,psi_empathy,Empathy,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_fighter,Fighter,EXCLUDED_FROM,psi_telempathic_projection,Telempathic Projection,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_magic_user,Magic-User,EXCLUDED_FROM,psi_body_weaponry,Body Weaponry,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_thief,Thief,EXCLUDED_FROM,psi_domination,Domination,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_thief,Thief,EXCLUDED_FROM,psi_mass_domination,Mass Domination,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
class_thief,Thief,EXCLUDED_FROM,psi_object_reading,Object Reading,class eligibility,,negates,derived,PHB,111,TABLE OF PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
enc_encumbrance,Encumbrance,FEEDS_INTO,psi_shape_alteration,Shape Alteration,weight altered,,neutral,derived,PHB,116,MAJOR SCIENCES: Shape Alteration,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,GATES,psi_detection_good_evil,Detection of Good or Evil,retrying a failed reading,,enables,derived,PHB,112,MINOR DEVOTIONS: Detection of Good or Evil,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,GATES,psi_mind_bar,Mind Bar,locating the attacker,,enables,derived,PHB,115,MAJOR SCIENCES: Mind Bar,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_animal_telepathy,Animal Telepathy,range and creatures reached,,improves,read,PHB,111,MINOR DEVOTIONS: Animal Telepathy,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_body_control,Body Control,damage and duration,,improves,read,PHB,114,MAJOR SCIENCES: Body Control,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_body_weaponry,Body Weaponry,armour and weapon equivalent,,improves,read,PHB,111,MINOR DEVOTIONS: Body Weaponry,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_cell_adjustment,Cell Adjustment,healing ceiling,,improves,read,PHB,112,MINOR DEVOTIONS: Cell Adjustment,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_detection_good_evil,Detection of Good or Evil,chance of reading,,improves,read,PHB,112,MINOR DEVOTIONS: Detection of Good or Evil,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_detection_magic,Detection of Magic,naming the type,,improves,read,PHB,112,MINOR DEVOTIONS: Detection of Magic,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_dimension_walk,Dimension Walk,risk of misdirection,,improves,read,PHB,114,MAJOR SCIENCES: Dimension Walk,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_empathy,Empathy,range,,improves,read,PHB,112,MINOR DEVOTIONS: Empathy,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_etherealness,Etherealness,weight carried across,,improves,read,PHB,115,MAJOR SCIENCES: Etherealness,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_expansion,Expansion,maximum growth,,improves,read,PHB,112,MINOR DEVOTIONS: Expansion,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_hypnosis,Hypnosis,creature levels affected,,improves,read,PHB,113,MINOR DEVOTIONS: Hypnosis,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_invisibility,Invisibility,creature levels fooled,,improves,read,PHB,113,MINOR DEVOTIONS: Invisibility,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_levitation,Levitation,total duration,,improves,read,PHB,113,MINOR DEVOTIONS: Levitation,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_mass_domination,Mass Domination,creatures and duration,,improves,read,PHB,115,MAJOR SCIENCES: Mass Domination,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_mind_bar,Mind Bar,chance the bar holds,,improves,read,PHB,115,MAJOR SCIENCES: Mind Bar,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_mind_over_body,Mind Over Body,days sustained,,improves,read,PHB,113,MINOR DEVOTIONS: Mind Over Body,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_molecular_agitation,Molecular Agitation,time before effect,,improves,read,PHB,113,MINOR DEVOTIONS: Molecular Agitation,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_molecular_manipulation,Molecular Manipulation,what may be weakened,,improves,read,PHB,115,MAJOR SCIENCES: Molecular Manipulation,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_molecular_rearrangement,Molecular Rearrangement,metals and weight,,improves,read,PHB,115,MAJOR SCIENCES: Molecular Rearrangement,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_precognition,Precognition,accuracy,,improves,read,PHB,113,MINOR DEVOTIONS: Precognition,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_probability_travel,Probability Travel,companions and risk,,improves,read,PHB,116,MAJOR SCIENCES: Probability Travel,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_reduction,Reduction,size reduction,,improves,read,PHB,114,MINOR DEVOTIONS: Reduction,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_suspend_animation,Suspend Animation,duration suspended,,improves,read,PHB,114,MINOR DEVOTIONS: Suspend Animation,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_telekinesis,Telekinesis,weight moved,,improves,read,PHB,116,MAJOR SCIENCES: Telekinesis,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_telempathic_projection,Telempathic Projection,duration,,improves,read,PHB,116,MAJOR SCIENCES: Telempathic Projection,explicit_rule,spell-scan,optional,,,
exp_level,Experience Level,MODIFIES,psi_telepathic_projection,Telepathic Projection,range and creatures influenced,,improves,read,PHB,116,MAJOR SCIENCES: Telepathic Projection,explicit_rule,spell-scan,optional,,,
psi_ability,Psionic Ability,GATES,psi_defense_mind_blank,Mind Blank,possession of the mode,,enables,derived,PHB,110,Defense Modes,explicit_rule,page-sweep,optional,,,
