source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
item_anything_wand,Anything Wand,ALTERNATIVE_TO,item_wand,Any Known Wand,duplicates other wands on command,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_anything_wand,Anything Wand,CONSTRAINS,item_anything_wand,Anything Wand,each wand type may be duplicated only once,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_anything_wand,Anything Wand,TRIGGERS,rule_item_destruction,Total Drain,three duplication demands expend it entirely,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_anything_wand,Anything Wand,EXCLUDED_FROM,rule_charges,Recharging,cannot be recharged,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_buckler_wand,Buckler Wand,ALTERNATIVE_TO,rule_shield,Buckler,transforms into a spiked buckler,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
class_cleric,Cleric,EXCLUDED_FROM,item_buckler_wand,Buckler Wand,unusable by clerics,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_buckler_wand,Buckler Form,EXCLUDES,rule_spell_casting,Spell Casting,no spells while in buckler form,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
rule_multiclass,Fighter Magic-User,OVERRIDES,item_buckler_wand,Casting Restriction,multi-classed characters may still cast,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
item_buckler_wand,Buckler Form,CONSTRAINS,thief_climb_walls,Climb Walls,thief abilities requiring hands are blocked,,UA,96,WANDS (III.D.2.),TRUE,page-sweep
race_dwarf,Dwarf or Gnome,GATES,item_wand_metal_command,Wand of Metal Command,powers operate only for these races,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_metal_command,Wand of Metal Command,MODIFIES,money_gp,Gold and Lead,transmutes one metal into the other,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_metal_command,Wand of Metal Command,CONSUMES,rule_charges,Charges,cost scales with the power used,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_metal_command,Wand of Metal Command,GATES,spell_crystalbrittle,Crystalbrittle,casts as a high level magic-user,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_size_alteration,Wand of Size Alteration,MODIFIES,monster_size,Creature Size,enlarges or diminishes by half,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_size_alteration,Size Change,MODIFIES,abil_strength,Strength,strength scales to the giant of matching size,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_size_alteration,Size Change,FEEDS_INTO,sys_equipment,Carried Gear,possessions change with the creature,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_wand_size_alteration,Wand of Size Alteration,TRIGGERS,save_matrix,Saving Throw,target may resist,,UA,97,WANDS (III.D.2.),TRUE,page-sweep
item_deck_illusions,Deck of Illusions,TRIGGERS,rule_illusion,Illusion,creates an audial and visual creature,,UA,99,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_deck_illusions,Deck of Illusions,CONSTRAINS,ex_movement_rate,Illusion Range,the illusion stays near the fallen card,,UA,99,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
spell_dispel_magic,Dispel Magic,OVERRIDES,item_deck_illusions,Deck of Illusions,dispelling blanks the card permanently,,UA,99,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
rule_declared_action,Picking Up the Card,OVERRIDES,item_deck_illusions,Illusion,retrieval instantly dispels it,,UA,99,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
rule_dm_discretion,DM Play,GATES,item_deck_illusions,Illusion Behaviour,illusions are played as real creatures,,UA,99,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_haversack,Heward's Handy Haversack,MODIFIES,enc_encumbrance,Encumbrance,holds far more than its size,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_haversack,Heward's Handy Haversack,OVERRIDES,rule_declared_action,Item Retrieval,the sought item is always on top,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_haversack,Heward's Handy Haversack,MODIFIES,item_saving_throw,Item Saving Throw,contents gain a bonus on all saves,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_horn_fog,Horn of Fog,TRIGGERS,rule_concealment,Concealment,creates a fog cloud,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
time_segment_round_turn,Rounds Sounded,MODIFIES,item_horn_fog,Fog Volume,each round adds to the cloud,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
item_pouch_accessibility,Pouch of Accessibility,MODIFIES,enc_encumbrance,Encumbrance,thirty pockets of extradimensional space,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,page-sweep
