source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
spell_component_verbal,Verbal Component,DERIVED_FROM,spell_components,Spell Components,must be uttered,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
spell_component_somatic,Somatic Component,DERIVED_FROM,spell_components,Spell Components,gesture required,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
spell_component_material,Material Component,DERIVED_FROM,spell_components,Spell Components,physical ingredient,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_cleric_spells,Cleric Spells,ALTERNATIVE_TO,rule_magic_user_spells,Magic-User Spells,bestowed versus memorized,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_deity,Deity,GATES,rule_cleric_spells,Cleric Spells,spells bestowed,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_deity_servants,Lesser Servants of the Deity,GATES,rule_cleric_spells,Cleric Spells,lower level spells granted,through intermediaries,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_deity,Deity,GATES,rule_cleric_spells,Cleric Spells,higher spells granted directly,upper spell levels only,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_level,Spell Level,GATES,rule_deity,Deity,direct supplication required,upper spell levels,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
sys_alignment,Alignment,MODIFIES,rule_deity,Deity,judged on faithfulness,at supplication,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_deity,Deity,TRIGGERS,rule_atonement,Atonement,deed or sacrifice required,at deity discretion,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_deity,Deity,OVERRIDES,rule_cleric_spells,Cleric Spells,may substitute or deny,at deity discretion,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_prayer,Prayer and Meditation,GATES,rule_cleric_spells,Cleric Spells,method of acquisition,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_prayer,Prayer and Meditation,CONSUMES,rule_time,Time,hours required,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_cleric_spells,Cleric Spells,CONSUMES,spell_component_material,Material Component,caster must supply,material not bestowed,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_druid_spells,Druid Spells,CONSUMES,spell_component_material,Material Component,all druid spells require,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_book,Spell Book,GATES,rule_spell_memorization,Spell Memorization,must consult to impress,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_memorization,Spell Memorization,CONSUMES,rule_time,Time,scales with spell level,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_rest,Rest and Nourishment,GATES,rule_spell_memorization,Spell Memorization,mind must be rested,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_memorization,Spell Memorization,GATES,rule_spell_casting,Casting a Spell,must be prepared in advance,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_casting,Casting a Spell,CONSUMES,rule_spell_memorization,Spell Memorization,forgotten entirely on use,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_spell_memorization,Spell Memorization,ALTERNATIVE_TO,rule_spell_memorization,Spell Memorization,same spell may be memorized repeatedly,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_magic_user_spells,Magic-User Spells,CONSUMES,spell_component_material,Material Component,caster must supply,,PHB,40,CHARACTER SPELLS,TRUE,prose-sweep
rule_movement_scale,Movement Scale,MODIFIES,ex_movement_rate,Movement Rate,varies by situation,,PHB,39,SCALE,TRUE,prose-sweep
rule_monster_term,Monster,FEEDS_INTO,cbt_encounter_reactions,Encounter Reactions,outcome depends on nature and action,,PHB,40,MONSTER THE TERM,TRUE,prose-sweep
