source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_constitution,Constitution,MODIFIES,rule_hit_points,Hit Points,bonus timing,cavalier entry grade,improves,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
abil_intelligence,Intelligence,GATES,class_cavalier,Cavalier,minimum score,,enables,derived,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
abil_wisdom,Wisdom,GATES,class_cavalier,Cavalier,minimum score,,enables,derived,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
cbt_parry,Parry,CONSTRAINS,cbt_attacks_per_round,Attacks Per Melee Round,attack forfeited,cavalier parries,worsens,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,CONSTRAINS,item_magic_armor,Magic Armor,preference still applies,,neutral,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,CONSTRAINS,prof_weapon,Weapon Proficiency,proficiency order,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,CONSTRAINS,sys_armor,Armor,armor types worn,,neutral,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,CROSS_REFERENCES,abil_str_exceptional,Exceptional Strength,percentile strength,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_reference,page-sweep,optional,,,
class_cavalier,Cavalier,DERIVED_FROM,save_matrix,Saving Throw Matrix,saves as a fighter,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,EXCLUDES,rule_fear,Fear or Religious Awe,allied aura,good aligned,negates,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,EXCLUDES,rule_fear,Fear or Religious Awe,immunity,,negates,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,psi_attack_blast,Psionic Blast,mind effect resistance,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,rule_hit_points,Hit Points,selected steed bonus,steed chosen,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,rule_mount,Mount,steed worth judged,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,rule_mount,Mount,thrown from saddle,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,spell_beguiling_charm_hypnosis_suggestion_spells,"Beguiling, Charm, Hypnosis, and Suggestion Spells",mind effect resistance,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,spell_hold_person,Hold Person,mind effect resistance,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,spell_magic_jar,Magic Jar,mind effect resistance,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,spell_sleep,Sleep,mind effect resistance,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,MODIFIES,training,Training,self sufficient,at higher levels,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
class_cavalier,Cavalier,OVERRIDES,rule_sex,Character Sex,score ceiling,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,explicit_replacement,,
class_cavalier,Cavalier,OVERRIDES,tbl_race_maximums,Racial Ability Maximums,score ceiling,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,explicit_replacement,,
exp_level,Experience Level,GATES,monster_unicorn,Unicorn,steed handling,female elven cavalier,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,rule_battleflag,Battle Flag,pennon unlocked,,enables,derived,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,rule_mount,Mount,rapid mounting,,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,ex_movement_rate,Movement Rate,mount speed urged,cavalier urges mount,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_alignment_change,Changing Alignment,penalty free window,early levels,neutral,read,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_hit_points,Hit Points,flat gain past level,cavalier,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_mount,Mount,saddle security,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,sys_ability_scores,Ability Scores,percentile increase,,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,sys_experience,Experience Points,flat cost beyond table,,neutral,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level_loss,Level Loss,MODIFIES,sys_ability_scores,Ability Scores,percentile loss,,worsens,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
race_elf,Elf,EXCLUDED_FROM,cbt_attack_matrix,Attack Matrix,mounted attack bonus,,negates,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
race_elf,Elf,GATES,monster_unicorn,Unicorn,steed handling,female cavalier,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
race_half_elf,Half-Elf,EXCLUDED_FROM,cbt_attack_matrix,Attack Matrix,mounted attack bonus,,negates,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_mount,Mount,MODIFIES,cbt_attack_matrix,Attack Matrix,effective attack level,human cavalier,improves,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
