source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
time_segment_round_turn,Melee Round,FEEDS_INTO,sys_combat,Combat,combat divided into rounds,,DMG,61,"ENCOUNTERS, COMBAT, AND INITIATIVE",TRUE,prose-sweep
hit_points,Hit Points,EXCLUDES,rule_hit_location,Hit Location,not a measure of physical damage,,DMG,61,"ENCOUNTERS, COMBAT, AND INITIATIVE",TRUE,prose-sweep
cbt_surprise,Surprise,GATES,cbt_initiative,Initiative,initiative rolled only if equally surprised,,DMG,62,ENCOUNTERS AND INITIATIVE,TRUE,prose-sweep
cbt_encounter_distance,Encounter Distance,GATES,cbt_missile,Missile Discharge,distance determined before action,,DMG,62,ENCOUNTERS AND INITIATIVE,TRUE,prose-sweep
cbt_surprise,Surprise,CONSUMES,time_segment_round_turn,Segment,segments granted to active party,,DMG,62,SURPRISE,TRUE,prose-sweep
cbt_surprise,Surprise,GATES,cbt_missile,Missile Discharge,possible during surprise segment,,DMG,62,SURPRISE,TRUE,prose-sweep
cbt_surprise,Surprise,CONSTRAINS,rule_spell_casting,Casting a Spell,most spells too long for one segment,,DMG,62,SURPRISE,TRUE,prose-sweep
spell_casting_time,Casting Time,GATES,rule_spell_casting,Casting a Spell,segments required,,DMG,62,SURPRISE,TRUE,prose-sweep
wpn_speed_factor,Weapon Speed Factor,OVERRIDES,cbt_initiative,Initiative,determines who strikes first,,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
wpn_speed_factor,Weapon Speed Factor,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,extra attacks on large differential,,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
wpn_speed_factor,Weapon Speed Factor,EXCLUDED_FROM,cbt_charge,Charging,not applicable when closing or charging,first round only,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
wpn_speed_factor,Weapon Speed Factor,MODIFIES,spell_disruption,Spell Disruption,compared against casting time,,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
wpn_stats,Weapon Statistics,FEEDS_INTO,wpn_speed_factor,Weapon Speed Factor,per-weapon value,,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
wpn_speed_factor,Weapon Speed Factor,CONSTRAINS,ex_dungeon,Dungeon Setting,long weapons unusable underground,,DMG,66,WEAPON SPEED FACTOR,TRUE,prose-sweep
spell_casting_time,Casting Time,TRIGGERS,spell_disruption,Spell Disruption,struck before completion,,DMG,65,SPELL CASTING DURING MELEE,TRUE,prose-sweep
rule_cover,Cover,MODIFIES,rule_spell_casting,Casting a Spell,affects spells and spell-like powers,,DMG,65,SPELL CASTING DURING MELEE,TRUE,prose-sweep
cbt_charge,Charging,MODIFIES,cbt_armor_class,Armor Class,one class worse while charging,creatures without dexterity bonus,DMG,66,CHARGING CREATURES,TRUE,prose-sweep
cbt_charge,Charging,EXCLUDES,dex_defensive_adj,Dexterity Defensive Adjustment,no bonus while charging,,DMG,66,CHARGING CREATURES,TRUE,prose-sweep
cbt_grenade_missile,Grenade-Like Missiles,DERIVED_FROM,cbt_missile,Missile Discharge,hurled containers,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
cbt_grenade_missile,Grenade-Like Missiles,TRIGGERS,item_saving_throw,Item Saving Throw,container may not shatter,crushing blow column,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
item_saving_throw,Item Saving Throw,GATES,cbt_damage,Damage,damage only if container breaks,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
wpn_range,Weapon Range,MODIFIES,cbt_tohit,To-Hit Roll,penalty at medium and long range,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
rule_holy_water,Holy Water,DERIVED_FROM,cbt_grenade_missile,Grenade-Like Missiles,thrown container,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
rule_oil,Flaming Oil,DERIVED_FROM,cbt_grenade_missile,Grenade-Like Missiles,thrown container,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
rule_oil,Flaming Oil,CONSUMES,time_segment_round_turn,Segment,burns for several segments,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
rule_poison_use,Poison,DERIVED_FROM,cbt_grenade_missile,Grenade-Like Missiles,thrown container,,DMG,64,GRENADE-LIKE MISSILES,TRUE,prose-sweep
