source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_constitution,Constitution,MODIFIES,spell_statue,Statue,survival of the transformation,,improves,read,PHB,89,Statue,explicit_rule,spell-scan,core,,,
abil_intelligence,Intelligence,MODIFIES,spell_magic_jar,Magic Jar,the saving throw,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
abil_wisdom,Wisdom,MODIFIES,spell_magic_jar,Magic Jar,the saving throw,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_anti_magic_shell,Anti-Magic Shell,duration,,improves,read,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_cloudkill,Cloudkill,duration,,improves,read,PHB,79,Cloudkill,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_death_spell,Death Spell,area of effect,,improves,read,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_feeblemind,Feeblemind,range,,improves,read,PHB,80,Feeblemind,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_lower_water,Lower Water,area of effect,,improves,read,PHB,85,Lower Water,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_magic_jar,Magic Jar,range,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_part_water,Part Water,range,,improves,read,PHB,85,Part Water,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_polymorph_any_object,Polymorph Any Object,range,,improves,read,PHB,91,Polymorph Any Object,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_sertens_spell_immunity,Serten's Spell Immunity,creatures protected,,improves,read,PHB,91,Serten’s Spell Immunity,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shape_change,Shape Change,duration,,improves,read,PHB,93,Shape Change,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_statue,Statue,duration,,improves,read,PHB,89,Statue,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_force,Wall of Force,area of effect,,improves,read,PHB,82,Wall of Force,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_iron,Wall of Iron,thickness and area,,improves,read,PHB,82,Wall of Iron,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_stone,Wall of Stone,thickness and area,,improves,read,PHB,82,Wall of Stone,explicit_rule,spell-scan,core,,,
monster_undead,Undead,EXCLUDED_FROM,spell_death_spell,Death Spell,not affected,,negates,derived,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
rule_hit_dice,Hit Dice,MODIFIES,spell_cloudkill,Cloudkill,whether death is instant,,worsens,read,PHB,79,Cloudkill,explicit_rule,spell-scan,core,,,
rule_hit_dice,Hit Dice,MODIFIES,spell_death_spell,Death Spell,creatures slain,,worsens,read,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDED_FROM,cbt_missile,Missile Fire,normal missiles pass through,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDES,item_magic_item,Magic Device,items within,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDES,rule_spell_casting,Casting a Spell,spells entering,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_permanency,Permanency,dispelling negates the permanence,,negates,derived,PHB,91,Permanency,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_wall_of_iron,Wall of Iron,removal of the wall,,negates,derived,PHB,82,Wall of Iron,explicit_rule,spell-scan,core,,,
spell_imprisonment,Maze or Cage Spell,TRIGGERS,rule_immobile,Total Immobility,suspended animation underground,,inflicts,read,PHB,92,Imprisonment,explicit_rule,spell-scan,core,,,
spell_locate_object,Locate Object,EXCLUDED_FROM,spell_imprisonment,Maze or Cage Spell,locating the imprisoned,,negates,derived,PHB,92,Imprisonment,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,rule_psionic_use,Use of Psionic Powers,psionic detection and influence,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,spell_esp,ESP,thoughts cannot be read,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,spell_feeblemind,Feeblemind,influence on the recipient,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,spell_suggestion,Suggestion,influence on the recipient,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,spell_trap_the_soul,Trap the Soul,soul trapping is prevented,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_mind_blank,Mind Blank,EXCLUDES,spell_wish,Wish,information gathered,,negates,derived,PHB,90,Mind Blank,explicit_rule,spell-scan,core,,,
spell_permanency,Permanency,GATES,item_magic_item,Magic Device,permanence of placed magic,,enables,derived,PHB,83,Enchant an Item,explicit_rule,spell-scan,core,,,
spell_permanency,Permanency,MODIFIES,abil_constitution,Constitution,cost to the caster,,worsens,read,PHB,91,Permanency,explicit_rule,spell-scan,core,,,
spell_permanency,Permanency,MODIFIES,rule_spell_duration,Spell Duration,permanence,,improves,read,PHB,91,Permanency,explicit_rule,spell-scan,core,,,
spell_polymorph_any_object,Polymorph Any Object,CROSS_REFERENCES,spell_polymorph_other,Polymorph Others,a more powerful version,,neutral,derived,PHB,91,Polymorph Any Object,explicit_reference,spell-scan,core,,,
spell_sertens_spell_immunity,Serten's Spell Immunity,MODIFIES,save_matrix,Saving Throw Matrix,save against named forms,,improves,read,PHB,91,Serten’s Spell Immunity,explicit_rule,spell-scan,core,,,
spell_shape_change,Shape Change,EXCLUDED_FROM,rule_system_shock,System Shock Survival,no check is incurred,,negates,derived,PHB,93,Shape Change,explicit_rule,spell-scan,core,,,
spell_statue,Statue,TRIGGERS,rule_system_shock,System Shock Survival,failure kills the recipient,,inflicts,read,PHB,89,Statue,explicit_rule,spell-scan,core,,,
spell_symbol,Symbol,MODIFIES,abil_dexterity,Dexterity,the pain application,,worsens,read,PHB,91,Symbol,explicit_rule,spell-scan,core,,,
spell_symbol,Symbol,MODIFIES,cbt_tohit,To-Hit Roll,the pain application,,worsens,read,PHB,91,Symbol,explicit_rule,spell-scan,core,,,
spell_symbol,Symbol,TRIGGERS,cbt_morale,Morale,fear and hopelessness,,inflicts,read,PHB,91,Symbol,explicit_rule,spell-scan,core,,,
spell_symbol,Symbol,TRIGGERS,rule_insanity,Insanity,the insanity application,,inflicts,read,PHB,91,Symbol,explicit_rule,spell-scan,core,,,
spell_trap_the_soul,Trap the Soul,CROSS_REFERENCES,spell_magic_jar,Magic Jar,strength of the effect,,neutral,derived,PHB,92,Trap the Soul,explicit_reference,spell-scan,core,,,
spell_wall_of_force,Wall of Force,EXCLUDED_FROM,spell_dispel_magic,Dispel Magic,unaffected by dispelling,,negates,derived,PHB,82,Wall of Force,explicit_rule,spell-scan,core,,,
spell_wall_of_force,Wall of Force,EXCLUDES,cbt_missile,Missile Fire,what may pass,,negates,derived,PHB,82,Wall of Force,explicit_rule,spell-scan,core,,,
spell_wish,Wish,CROSS_REFERENCES,spell_limited_wish,Limited Wish,a more potent version,,neutral,derived,PHB,94,Wish,explicit_reference,spell-scan,core,,,
abil_intelligence,Intelligence,MODIFIES,spell_contact_other_plane,Contact Other Plane,likelihood of insanity,,improves,read,PHB,80,Contact Other Plane,explicit_rule,spell-scan,core,,,
abil_intelligence,Intelligence,MODIFIES,spell_maze,Maze,time trapped,,improves,read,PHB,90,Maze,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_airy_water,Airy Water,duration,,improves,read,PHB,79,Airy Water,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_antipathy_sympathy,Antipathy/Sympathy,duration,,improves,read,PHB,89,Antipathy/Sympathy,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_bigbys_clenched_fist,Bigby’s Clenched Fist,range,,improves,read,PHB,89,Bigby’s Clenched Fist,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_bigbys_crushing_hand,Bigby’s Crushing Hand,range,,improves,read,PHB,92,Bigby’s Crushing Hand,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_bigbys_forceful_hand,Bigby’s Forceful Hand,range,,improves,read,PHB,83,Bigby’s Forceful Hand,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_bigbys_grasping_hand,Bigby’s Grasping Hand,range,,improves,read,PHB,86,Bigby’s Grasping Hand,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_bigbys_interposing_hand,Bigby’s Interposing Hand,range,,improves,read,PHB,79,Bigby’s Interposing Hand,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_cacodemon,Cacodemon,chance of arrival,,improves,read,PHB,86,Cacodemon,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_cone_of_cold,Cone of Cold,damage by level,,improves,read,PHB,80,Cone of Cold,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_conjure_elemental,Conjure Elemental,duration,,improves,read,PHB,79,Conjure Elemental,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_contact_other_plane,Contact Other Plane,questions permitted,,improves,read,PHB,80,Contact Other Plane,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_delayed_blast_fireball,Delayed Blast Fireball,damage by level,,improves,read,PHB,87,Delayed Blast Fireball,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_disintegrate,Disintegrate,range,,improves,read,PHB,83,Disintegrate,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_distance_distortion,Distance Distortion,area of effect,,improves,read,PHB,80,Distance Distortion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_drawmijs_instant_summons,Drawmij’s Instant Summons,how many planes distant,,improves,read,PHB,87,Drawmij’s Instant Summons,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_duo_dimension,Duo-Dimension,duration,,improves,read,PHB,87,Duo-Dimension,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_glassee,Glassee,duration,,improves,read,PHB,84,Glassee,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_glassteel,Glassteel,weight affected,,improves,read,PHB,90,Glassteel,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_globe_of_invulnerability,Globe of Invulnerability,duration,,improves,read,PHB,84,Globe of Invulnerability,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_guards_and_wards,Guards and Wards,area of effect,,improves,read,PHB,84,Guards and Wards,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_hold_monster,Hold Monster,duration,,improves,read,PHB,80,Hold Monster,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_incendiary_cloud,Incendiary Cloud,damage by level,,improves,read,PHB,90,Incendiary Cloud,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_leomunds_secret_chest,Leomund’s Secret Chest,volume the chest holds,,improves,read,PHB,80,Leomund’s Secret Chest,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mass_charm,Mass Charm,total levels affected,,improves,read,PHB,90,Mass Charm,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mass_invisibility,Mass Invisibility,range,,improves,read,PHB,88,Mass Invisibility,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_maze,Maze,range,,improves,read,PHB,90,Maze,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_meteor_swarm,Meteor Swarm,range,,improves,read,PHB,92,Meteor Swarm,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_monster_summoning_iii,Monster Summoning III,duration,,improves,read,PHB,81,Monster Summoning III,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_monster_summoning_iv,Monster Summoning IV,duration,,improves,read,PHB,85,Monster Summoning IV,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_monster_summoning_v,Monster Summoning V,duration,,improves,read,PHB,88,Monster Summoning V,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_monster_summoning_vi,Monster Summoning VI,duration,,improves,read,PHB,90,Monster Summoning VI,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_monster_summoning_vii,Monster Summoning VII,duration,,improves,read,PHB,93,Monster Summoning VII,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mordenkainens_faithful_hound,Mordenkainen’s Faithful Hound,duration,,improves,read,PHB,81,Mordenkainen’s Faithful Hound,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mordenkainens_sword,Mordenkainen’s Sword,hit probability,,improves,read,PHB,88,Mordenkainen’s Sword,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_move_earth,Move Earth,range,,improves,read,PHB,85,Move Earth,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_otilukes_freezing_sphere,Otiluke’s Freezing Sphere,damage by level,,improves,read,PHB,85,Otiluke’s Freezing Sphere,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_passwall,Passwall,duration,,improves,read,PHB,81,Passwall,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_phase_door,Phase Door,number of usages,,improves,read,PHB,88,Phase Door,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_power_word_blind,"Power Word, Blind",range,,improves,read,PHB,91,"Power Word, Blind",explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_power_word_kill,"Power Word, Kill",range,,improves,read,PHB,93,"Power Word, Kill",explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_power_word_stun,"Power Word, Stun",range,,improves,read,PHB,88,"Power Word, Stun",explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_prismatic_sphere,Prismatic Sphere,duration,,improves,read,PHB,93,Prismatic Sphere,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_project_image,Project Image,range,,improves,read,PHB,85,Project Image,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_reincarnation,Reincarnation,how long dead,,improves,read,PHB,85,Reincarnation,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_repulsion,Repulsion,duration,,improves,read,PHB,86,Repulsion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_reverse_gravity,Reverse Gravity,range,,improves,read,PHB,88,Reverse Gravity,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_spiritwrack,Spiritwrack,range,,improves,read,PHB,86,Spiritwrack,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_stone_shape,Stone Shape,volume shaped,,improves,read,PHB,81,Stone Shape,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_stone_to_flesh,Stone to Flesh,volume affected,,improves,read,PHB,86,Stone to Flesh,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_telekinesis,Telekinesis,weight moved,,improves,read,PHB,82,Telekinesis,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_teleport,Teleport,weight carried,,improves,read,PHB,82,Teleport,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_tensers_transformation,Tenser’s Transformation,duration,,improves,read,PHB,86,Tenser’s Transformation,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_time_stop,Time Stop,duration,,improves,read,PHB,94,Time Stop,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_transmute_rock_to_mud,Transmute Rock To Mud,area of effect,,improves,read,PHB,82,Transmute Rock To Mud,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_vanish,Vanish,weight and volume,,improves,read,PHB,89,Vanish,explicit_rule,spell-scan,core,,,
monster_extra_dimensional,Extra-Dimensional Creature,EXCLUDED_FROM,spell_death_spell,Death Spell,not affected,,negates,derived,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
monster_minotaur,Minotaur,EXCLUDED_FROM,spell_maze,Maze,not affected,,negates,derived,PHB,90,Maze,explicit_rule,spell-scan,core,,,
rule_concentration,Concentration,GATES,spell_conjure_elemental,Conjure Elemental,control of the elemental,,enables,derived,PHB,79,Conjure Elemental,explicit_rule,spell-scan,core,,,
rule_hit_points,Hit Points,CONSTRAINS,spell_power_word_kill,"Power Word, Kill",who is affected,,worsens,read,PHB,93,"Power Word, Kill",explicit_rule,spell-scan,core,,,
rule_hit_points,Hit Points,MODIFIES,spell_power_word_blind,"Power Word, Blind",duration and effect,,worsens,read,PHB,91,"Power Word, Blind",explicit_rule,spell-scan,core,,,
rule_hit_points,Hit Points,MODIFIES,spell_power_word_stun,"Power Word, Stun",duration and effect,,worsens,read,PHB,88,"Power Word, Stun",explicit_rule,spell-scan,core,,,
rule_spell_level,Spell Level,CONSTRAINS,spell_extension_ii,Extension II,spells eligible,,worsens,read,PHB,80,Extension II,explicit_rule,spell-scan,core,,,
rule_spell_level,Spell Level,CONSTRAINS,spell_extension_iii,Extension III,extension by level,,worsens,read,PHB,84,Extension III,explicit_rule,spell-scan,core,,,
spell_airy_water,Airy Water,EXCLUDES,rule_water_breathing,Breathing,water-breathing within,,negates,derived,PHB,79,Airy Water,explicit_rule,spell-scan,core,,,
spell_airy_water,Airy Water,GATES,rule_underwater,Underwater Adventures,movement and breathing,,enables,derived,PHB,79,Airy Water,explicit_rule,spell-scan,core,,,
spell_antipathy_sympathy,Antipathy/Sympathy,MODIFIES,abil_dexterity,Dexterity,loss while resisting,,worsens,read,PHB,89,Antipathy/Sympathy,explicit_rule,spell-scan,core,,,
spell_bigbys_clenched_fist,Bigby’s Clenched Fist,CONSTRAINS,rule_spell_casting,Casting a Spell,other magic while controlling,,worsens,read,PHB,89,Bigby’s Clenched Fist,explicit_rule,spell-scan,core,,,
spell_bigbys_clenched_fist,Bigby’s Clenched Fist,EXCLUDED_FROM,cbt_tohit,To-Hit Roll,the fist never misses,,negates,derived,PHB,89,Bigby’s Clenched Fist,explicit_rule,spell-scan,core,,,
spell_bigbys_clenched_fist,Bigby’s Clenched Fist,TRIGGERS,rule_stunned,Stunned,the harder blows stun,,inflicts,read,PHB,89,Bigby’s Clenched Fist,explicit_rule,spell-scan,core,,,
spell_bigbys_crushing_hand,Bigby’s Crushing Hand,CROSS_REFERENCES,spell_bigbys_clenched_fist,Bigby’s Clenched Fist,strength of the hand,,neutral,derived,PHB,92,Bigby’s Crushing Hand,explicit_reference,spell-scan,core,,,
spell_bigbys_forceful_hand,Bigby’s Forceful Hand,CROSS_REFERENCES,spell_bigbys_interposing_hand,Bigby’s Interposing Hand,a stronger version,,neutral,derived,PHB,83,Bigby’s Forceful Hand,explicit_reference,spell-scan,core,,,
