source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
cbt_charge,Charging,MODIFIES,cbt_damage,Damage,damage against chargers,weapon set to receive,improves,read,PHB,37,WEIGHT AND DAMAGE BY WEAPON TYPE,explicit_rule,page-sweep,core,,,
enc_encumbrance,Encumbrance,CONSTRAINS,sys_equipment,Equipment,carrying choice,,worsens,read,PHB,35,EQUIPPING THE CHARACTER,explicit_rule,page-sweep,core,,,
item_magic_armor,Magic Armor,EXCLUDED_FROM,enc_encumbrance,Encumbrance,carried weight,,negates,derived,PHB,36,ARMOR,explicit_rule,page-sweep,core,,,
rule_immobile,Total Immobility,MODIFIES,cbt_tohit,To-Hit Roll,bonus to strike,target motionless,improves,read,PHB,38,"WEAPON TYPES, GENERAL DATA, AND ""TO HIT"" ADJUSTMENTS",explicit_rule,page-sweep,core,,,
rule_mount,Mount,MODIFIES,cbt_damage,Damage,damage from a charge,attacker on a charging mount,improves,read,PHB,37,WEIGHT AND DAMAGE BY WEAPON TYPE,explicit_rule,page-sweep,core,,,
rule_prone,Prone or Helpless Opponent,MODIFIES,cbt_tohit,To-Hit Roll,bonus to strike,target prone,improves,read,PHB,38,"WEAPON TYPES, GENERAL DATA, AND ""TO HIT"" ADJUSTMENTS",explicit_rule,page-sweep,core,,,
rule_shield,Shield,EXCLUDED_FROM,cbt_armor_class,Armor Class,shield bonus,attacks from the right flank or rear,negates,derived,PHB,36,ARMOR,explicit_rule,page-sweep,core,,,
rule_stun,Stunning Blow,MODIFIES,cbt_tohit,To-Hit Roll,bonus to strike,target stunned,improves,read,PHB,38,"WEAPON TYPES, GENERAL DATA, AND ""TO HIT"" ADJUSTMENTS",explicit_rule,page-sweep,core,,,
sys_equipment,Equipment,CONSUMES,money_gp,Money,purchase cost,,neutral,derived,PHB,35,EQUIPPING THE CHARACTER,explicit_rule,page-sweep,core,,,
wpn_type_vs_ac,Armor Class Adjustment,MODIFIES,cbt_tohit,To-Hit Roll,attack roll,by weapon type against armour class,neutral,read,PHB,38,"WEAPON TYPES, GENERAL DATA, AND ""TO HIT"" ADJUSTMENTS",explicit_rule,page-sweep,core,,,
