source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
cbt_armor_class,Armor Class,GATES,cbt_tohit,To-Hit Roll,whether a hit is scored,,enables,derived,PHB,105,COMBAT PROCEDURES,explicit_rule,page-sweep,core,,,
cbt_initiative,Initiative,GATES,cbt_tohit,To-Hit Roll,the winning side strikes first,,enables,derived,PHB,104,INITIATIVE,explicit_rule,page-sweep,core,,,
cbt_morale,Morale,EXCLUDED_FROM,class_fighter,Fighter,player characters never check morale,,negates,derived,PHB,106,MORALE,explicit_rule,page-sweep,core,,,
cbt_surprise,Surprise,CONSUMES,rule_time,Time,segments lost by the surprised party,,neutral,derived,PHB,103,SURPRISE,explicit_rule,page-sweep,core,,,
cbt_surprise,Surprise,MODIFIES,cbt_initiative,Initiative,surprise obviates the initiative check,,improves,read,PHB,104,INITIATIVE,explicit_rule,page-sweep,core,,,
cbt_tohit,To-Hit Roll,EXCLUDES,rule_spell_casting,Casting a Spell,being struck spoils the spell,interrupted mid-casting,negates,derived,PHB,100,SPELL CASTING,explicit_rule,page-sweep,core,,,
class_paladin,Paladin,MODIFIES,rule_hit_points,Hit Points,laying on of hands,,improves,read,PHB,106,HEALING,explicit_rule,page-sweep,core,,,
enc_encumbrance,Encumbrance,MODIFIES,cbt_encounter_reactions,Encounter Reactions,the heavily laden are slowed,,worsens,read,PHB,102,ENCUMBRANCE,explicit_rule,page-sweep,core,,,
ex_falling,Falling Damage,TRIGGERS,rule_hit_points,Hit Points,damage by distance fallen,,inflicts,read,PHB,105,FALLING DAMAGE,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,cbt_melee,Melee Combat,multiple attacks strike before single ones,,improves,read,PHB,104,Melee Combat:,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,cbt_morale,Morale,higher level characters are unlikely to break,,improves,read,PHB,106,MORALE,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,rule_turn_undead,Turning Undead,the degree of success attainable,,improves,read,PHB,104,Turning Undead:,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,save_matrix,Saving Throw Matrix,the base score is by level in class,,improves,read,PHB,105,Saving Throw:,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,xp_treasure,Experience for Treasure,an overmatched guardian reduces the award,,worsens,read,PHB,106,EXPERIENCE,explicit_rule,page-sweep,core,,,
hench_loyalty,Loyalty Base,CONSTRAINS,exp_level,Experience Level,henchmen gain only part of the total,,worsens,read,PHB,107,EXPERIENCE,explicit_rule,page-sweep,core,,,
item_magic_item,Magic Device,MODIFIES,cbt_armor_class,Armor Class,magical armour and protective items,,improves,read,PHB,105,Armor Class:,explicit_rule,page-sweep,core,,,
item_magic_item,Magic Device,MODIFIES,xp_treasure,Experience for Treasure,"retained items are worth little, sold ones full value",,worsens,read,PHB,106,EXPERIENCE,explicit_rule,page-sweep,core,,,
item_magic_item,Magic Device,TRIGGERS,save_matrix,Saving Throw Matrix,items save against attack forms too,,inflicts,read,PHB,105,Saving Throw:,explicit_rule,page-sweep,core,,,
item_magic_item,Magic Device,TRIGGERS,save_matrix,Saving Throw Matrix,"rods, staves and wands allow a save",,inflicts,read,PHB,104,Magical Device Attacks:,explicit_rule,page-sweep,core,,,
race_infravision,Infravision,EXCLUDES,thief_hide_in_shadows,Hide in Shadows,the thief's body heat is seen,no masking heat or cold source nearby,negates,derived,PHB,102,INFRAVISION,explicit_rule,page-sweep,core,,,
rule_holy_symbol,Holy Symbol,GATES,rule_turn_undead,Turning Undead,the symbol must be held forth,,enables,derived,PHB,104,Turning Undead:,explicit_rule,page-sweep,core,,,
rule_immobile,Total Immobility,EXCLUDES,rule_spell_casting,Casting a Spell,magical immobility prevents any casting,,negates,derived,PHB,100,SPELL CASTING,explicit_rule,page-sweep,core,,,
rule_invisibility,Invisibility,EXCLUDED_FROM,rule_light_source,Light Source,invisibility does not mask a carried light,,negates,derived,PHB,102,INVISIBLE MOVEMENT,explicit_rule,page-sweep,core,,,
rule_light_source,Light Source,EXCLUDES,cbt_surprise,Surprise,light negates the chance,,negates,derived,PHB,102,SURPRISE,explicit_rule,page-sweep,core,,,
rule_light_source,Light Source,EXCLUDES,race_infravision,Infravision,illumination spoils the capability,,negates,derived,PHB,102,INFRAVISION,explicit_rule,page-sweep,core,,,
rule_prime_requisite,Prime Requisite Experience Bonus,MODIFIES,exp_level,Experience Level,a high major ability grants a bonus,,improves,read,PHB,106,EXPERIENCE,explicit_rule,page-sweep,core,,,
rule_spell_casting,Casting a Spell,CONSUMES,spell_component_material,Material Component,components are expended as cast,,neutral,derived,PHB,100,SPELL CASTING,explicit_rule,page-sweep,core,,,
rule_spell_level,Spell Level,MODIFIES,spell_casting_time,Casting Time,higher level spells take longer,,worsens,read,PHB,104,Spell Combat:,explicit_rule,page-sweep,core,,,
rule_time,Time,MODIFIES,rule_hit_points,Hit Points,rest restores points per day,,improves,read,PHB,105,HEALING,explicit_rule,page-sweep,core,,,
rule_traps,Traps,TRIGGERS,rule_hit_points,Hit Points,injuring and killing traps,,inflicts,read,PHB,103,"TRAPS, TRICKS, AND ENCOUNTERS",explicit_rule,page-sweep,core,,,
rule_turn_undead,Turning Undead,EXCLUDES,rule_spell_casting,Casting a Spell,turning precludes other spell activity,,negates,derived,PHB,104,Turning Undead:,explicit_rule,page-sweep,core,,,
rule_uncontrolled_fire,Uncontrolled Fire,EXCLUDES,race_infravision,Infravision,great heat spoils the capability,,negates,derived,PHB,102,INFRAVISION,explicit_rule,page-sweep,core,,,
save_matrix,Saving Throw Matrix,EXCLUDES,cbt_tohit,To-Hit Roll,most magical and breath attacks need no attack roll,,negates,derived,PHB,105,COMBAT PROCEDURES,explicit_rule,page-sweep,core,,,
save_matrix,Saving Throw Matrix,GATES,rule_spell_casting,Casting a Spell,a failed save spoils the spell when struck,,enables,derived,PHB,104,Spell Combat:,explicit_rule,page-sweep,core,,,
spell_haste,Haste,MODIFIES,cbt_initiative,Initiative,the hasted side always wins initiative,,improves,read,PHB,104,INITIATIVE,explicit_rule,page-sweep,core,,,
spell_silence_15_radius,"Silence, 15′ Radius",EXCLUDES,spell_component_verbal,Verbal Component,magical silence prevents completion,,negates,derived,PHB,100,SPELL CASTING,explicit_rule,page-sweep,core,,,
spell_slow,Slow,MODIFIES,cbt_initiative,Initiative,the slowed side always loses initiative,,worsens,read,PHB,104,INITIATIVE,explicit_rule,page-sweep,core,,,
sys_alignment,Alignment,GATES,rule_turn_undead,Turning Undead,evil clerics command rather than destroy,,enables,derived,PHB,104,Turning Undead:,explicit_rule,page-sweep,core,,,
sys_equipment,Equipment,CONSTRAINS,cbt_armor_class,Armor Class,a shield protects against a limited number of foes,,worsens,read,PHB,105,Armor Class:,explicit_rule,page-sweep,core,,,
sys_equipment,Equipment,MODIFIES,cbt_armor_class,Armor Class,armour worn and shield carried,,improves,read,PHB,105,Armor Class:,explicit_rule,page-sweep,core,,,
thief_find_remove_traps,Find/Remove Traps,EXCLUDES,rule_traps,Traps,detection and removal negates them,,negates,derived,PHB,103,"TRAPS, TRICKS, AND ENCOUNTERS",explicit_rule,page-sweep,core,,,
thief_move_silently,Move Silently,EXCLUDES,rule_noise,Noise,movement without sound,,negates,derived,PHB,102,SILENT MOVEMENT,explicit_rule,page-sweep,core,,,
wpn_length,Weapon Length,MODIFIES,cbt_melee,Melee Combat,position and weapon length affect order,,neutral,read,PHB,104,Melee Combat:,explicit_rule,page-sweep,core,,,
wpn_length,Weapon Length,MODIFIES,cbt_tohit,To-Hit Roll,longer weapons strike a rushing opponent first,,improves,read,PHB,105,First Strike:,explicit_rule,page-sweep,core,,,
wpn_speed_factor,Weapon Speed Factor,MODIFIES,cbt_initiative,Initiative,order and number of strikes in single combat,,neutral,read,PHB,105,First Strike:,explicit_rule,page-sweep,core,,,
