source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
item_elixir_youth,Elixir of Youth,OVERRIDES,rule_aging,Aging,reverses age by years,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_elixir_youth,Partial Dose,MODIFIES,item_elixir_youth,Elixir of Youth,sipping reduces potency and effect,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_oil_impact,Oil of Impact,MODIFIES,cbt_tohit,To-Hit Roll,bonus to blunt weapons and missiles,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_oil_acid_resistance,Oil of Acid Resistance,EXCLUDES,cbt_damage,Acid Damage,protects the coated subject,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_oil_elemental_invuln,Oil of Elemental Invulnerability,EXCLUDES,rule_planar_travel,Elemental Attacks,wards against elemental creatures,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_oil_fiery_burning,Oil of Fiery Burning,TRIGGERS,cbt_damage,Fire Damage,bursts into flame when thrown,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
abil_dexterity,Dexterity,MODIFIES,item_oil_fiery_burning,Oil of Fiery Burning,handling risk on a fumble,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_potion_fire_breath,Potion of Fire Breath,TRIGGERS,cbt_damage,Breath Damage,belches a tongue of flame,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
rule_time,Held Too Long,TRIGGERS,cbt_damage,Self Damage,delayed release may burn the imbiber,,UA,90,TREASURE (POTIONS),TRUE,item-scan,optional
item_ring_animal_friendship,Ring of Animal Friendship,TRIGGERS,cbt_encounter_reactions,Animal Reaction,befriends normal animals,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
abil_intelligence,Animal Intelligence,CONSTRAINS,item_ring_animal_friendship,Ring of Animal Friendship,only low-intelligence beasts,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_chameleon,Ring of Chameleon Power,GATES,rule_concealment,Concealment,the wearer blends with surroundings,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_chameleon,Ring of Chameleon Power,MODIFIES,cbt_surprise,Surprise,improves the roll,,UA,92,TREASURE (RINGS),FALSE,item-scan,optional
item_ring_clumsiness,Ring of Clumsiness,DERIVED_FROM,cursed_item,Cursed Item,radiates a false secondary dweomer,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
spell_detect_magic,Detect Magic,EXCLUDED_FROM,item_ring_clumsiness,Ring of Clumsiness,the disguise defeats identification,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
rule_stress,Combat or Stealth,TRIGGERS,item_ring_clumsiness,Ring of Clumsiness,the curse fires only under stress,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_clumsiness,Ring of Clumsiness,MODIFIES,abil_dexterity,Dexterity,halved while active,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_clumsiness,Ring of Clumsiness,MODIFIES,thief_skills,Stealth and Precise Action,chances halved,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_clumsiness,Ring of Clumsiness,TRIGGERS,rule_spell_failure,Spell Failure,somatic casting is spoiled,,UA,92,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_mind_shielding,Ring of Mind Shielding,EXCLUDES,spell_esp,ESP,total immunity,,UA,93,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_mind_shielding,Ring of Mind Shielding,EXCLUDES,spell_know_alignment,Know Alignment,alignment cannot be read,,UA,93,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_mind_shielding,Ring of Mind Shielding,GATES,psi_defense_modes,Thought Shield,free defence for psionic wearers,,UA,93,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_mind_shielding,Ring of Mind Shielding,MODIFIES,psi_combat,Psionic Attack Damage,damage reduced while worn,,UA,93,TREASURE (RINGS),TRUE,item-scan,optional
item_ring_mind_shielding,Ring of Mind Shielding,MODIFIES,save_matrix,Psionic Blast Save,bonus for non-psionic wearers,,UA,93,TREASURE (RINGS),TRUE,item-scan,optional
item_rod_flailing,Rod of Flailing,MODIFIES,cbt_armor_class,Armor Class,defensive bonus when activated,,UA,94,RODS (III.D.),TRUE,item-scan,optional
item_rod_passage,Rod of Passage,GATES,rule_planar_travel,Passage,moves through solid matter and planes,,UA,94,RODS (III.D.),TRUE,item-scan,optional
item_rod_security,Rod of Security,GATES,rule_planar_travel,Non-Dimensional Space,creates a pocket refuge,,UA,94,RODS (III.D.),TRUE,item-scan,optional
rule_party_size,Number of Creatures,CONSTRAINS,item_rod_security,Rod of Security,duration divides by headcount,,UA,94,RODS (III.D.),TRUE,item-scan,optional
item_rod_security,Rod of Security,EXCLUDES,rule_aging,Aging,time in the refuge does not age the occupants,,UA,94,RODS (III.D.),FALSE,item-scan,optional
item_rod_security,Rod of Security,GATES,rule_rest,Rest and Recovery,a place of complete safety,,UA,94,RODS (III.D.),TRUE,item-scan,optional
item_staff_woodlands,Staff of the Woodlands,GATES,gen_random_encounter,Animate Tree,animates trees as guardians,,UA,95,STAVES (III.D.2.),TRUE,item-scan,optional
item_staff_swarming_insects,Staff of Swarming Insects,MODIFIES,cbt_armor_class,Armor Class,the swarm hampers those within,,UA,95,STAVES (III.D.2.),TRUE,item-scan,optional
item_staff_swarming_insects,Staff of Swarming Insects,TRIGGERS,spell_disruption,Spell Disruption,casting within the swarm fails,,UA,95,STAVES (III.D.2.),FALSE,item-scan,optional
item_wand_force,Wand of Force,GATES,spell_wall_of_force,Wall of Force,creates force effects,,UA,96,WANDS (III.D.2.),TRUE,item-scan,optional
item_wand_defoliation,Wand of Defoliation,TRIGGERS,rule_terrain,Vegetation,strips plant life from an area,,UA,96,WANDS (III.D.2.),TRUE,item-scan,optional
item_wand_earth_stone,Wand of Earth and Stone,MODIFIES,campaign_construction,Excavation,shapes and moves earth,,UA,96,WANDS (III.D.2.),TRUE,item-scan,optional
