source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
hench_sage,Sage,GATES,tbl_sage_fields,Sage Fields of Study,eight general fields,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_fields,Sage Fields of Study,GATES,tbl_sage_special_categories,Special Knowledge Categories,subcategories per field,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_fields,Sage Fields of Study,CONSTRAINS,hench_sage,Sage,major and minor fields assigned,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
rule_field_tier,Field Tier,FEEDS_INTO,rule_sage_chance_to_know,Chance of Knowing Answer,out of fields minor major or special,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
rule_question_difficulty,Question Difficulty,FEEDS_INTO,rule_sage_chance_to_know,Chance of Knowing Answer,general specific or exacting,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
rule_sage_chance_to_know,Chance of Knowing Answer,CONSTRAINS,rule_information,Information,exacting questions unanswerable out of field,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
rule_sage_chance_to_know,Chance of Knowing Answer,RESOLVED_BY,rule_dice_probability,Two-Stage Roll,base range then knowledge check,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
rule_player_knowledge,Player Character Knowledge,GATES,rule_question_difficulty,Question Scope,question must lie within character knowledge,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
campaign_setting,Milieu Learning,CONSTRAINS,rule_question_difficulty,Question Scope,unknown concepts cannot be asked about,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
hench_sage,Sage,CONSUMES,campaign_construction,Quarters and Library,minimum four rooms required,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
rule_sage_workload,Sage Workload,MODIFIES,campaign_construction,Quarters and Library,more space needed when busy,,DMG,32,CHANCE OF KNOWING ANSWER TO A QUESTION,TRUE,prose-sweep
tbl_sage_special_categories,Special Knowledge Categories,GATES,rule_languages,Languages,a studiable category,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_special_categories,Special Knowledge Categories,GATES,rule_planar_travel,Planes,astral elemental ethereal and outer,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_special_categories,Special Knowledge Categories,GATES,rule_dweomercraeft,Dweomercraeft,magic as a field of study,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_special_categories,Special Knowledge Categories,GATES,rule_medicine,Medicine,a studiable category,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
tbl_sage_special_categories,Special Knowledge Categories,GATES,rule_herbs,Herbs,a studiable category under flora,,DMG,32,SAGE FIELDS OF STUDY,TRUE,prose-sweep
hench_serjeant,Serjeant,DERIVED_FROM,hench_mercenary,Mercenary Soldier,non-commissioned officer,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_serjeant,Serjeant,CONSTRAINS,class_followers,Troops,one required per ten soldiers,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_serjeant,Serjeant,CONSUMES,money_gp,Money,ten times the rate of troops commanded,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
exp_level,Experience Level,CONSTRAINS,hench_serjeant,Serjeant,first level and cannot advance,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_nonhuman_troops,Non-Human Soldiers,CONSUMES,money_gp,Money,cost varies sharply by race,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
sys_alignment,Alignment,GATES,hench_nonhuman_troops,Non-Human Soldiers,must champion their cause or share alignment,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_nonhuman_troops,Evil Non-Human Troops,TRIGGERS,rule_looting,Looting and Atrocity,expected at every chance,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
campaign_territory,Where They Dwell,GATES,hench_nonhuman_troops,Non-Human Soldiers,enlisted only in their homeland,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_slinger,Slinger,CONSTRAINS,sys_armor,Armor,light armor types only,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
hench_slinger,Slinger,CONSTRAINS,sys_equipment,Weapons,lesser hand weapons only,,DMG,31,EXPERT HIRELINGS,TRUE,prose-sweep
