source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
enc_encumbrance,Encumbrance,MODIFIES,ex_movement_rate,Movement Rate,rate reduced by load,,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
enc_encumbrance,Encumbrance,MODIFIES,cbt_initiative,Initiative,reaction slowed,heavier loads,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,enc_encumbrance,Encumbrance,penalties and bonuses,,PHB,102,ENCUMBRANCE,TRUE,prose-sweep
sys_armor,Armor,FEEDS_INTO,enc_encumbrance,Encumbrance,worn weight,,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
rule_volume,Volume and Bulk,FEEDS_INTO,enc_encumbrance,Encumbrance,bulk as critical as weight,,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
sys_treasure,Treasure,FEEDS_INTO,enc_encumbrance,Encumbrance,carried loot adds load,,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
rule_accessibility,Item Accessibility,CONSTRAINS,sys_equipment,Equipment,must be readily reachable,,PHB,101,ENCUMBRANCE,TRUE,prose-sweep
ex_movement_rate,Movement Rate,FEEDS_INTO,time_segment_round_turn,Round and Segment,distance per unit time,,PHB,102,MOVEMENT TIME AND DISTANCE FACTORS,TRUE,prose-sweep
rule_terrain,Terrain,MODIFIES,ex_movement_rate,Movement Rate,outdoor rate varies,,PHB,102,MOVEMENT OUTDOORS,TRUE,prose-sweep
ex_mapping,Mapping,MODIFIES,ex_movement_rate,Movement Rate,movement greatly slowed,,PHB,102,MOVEMENT IN CITIES,TRUE,prose-sweep
rule_light,Light,GATES,ex_mapping,Mapping,light required to map,,PHB,102,MOVEMENT IN CITIES,TRUE,prose-sweep
race_infravision,Infravision,EXCLUDED_FROM,ex_mapping,Mapping,not suitable for mapping,,PHB,102,MOVEMENT IN CITIES,TRUE,prose-sweep
cbt_pursuit_evasion,Pursuit and Evasion,EXCLUDES,ex_mapping,Mapping,no mapping at speed,pursuing or pursued,PHB,102,MOVEMENT IN CITIES,TRUE,prose-sweep
rule_trail_marking,Trail Marking,EXCLUDED_FROM,ex_mapping,Mapping,markers unreliable underground,,PHB,102,MOVEMENT IN CITIES,TRUE,prose-sweep
rule_light_source,Light Source,FEEDS_INTO,rule_light,Light,radius of illumination,,PHB,102,LIGHT,TRUE,prose-sweep
rule_light_source,Light Source,CONSUMES,rule_time,Time,burning time,,PHB,102,LIGHT,TRUE,prose-sweep
rule_light_source,Light Source,CONSUMES,rule_oil,Oil,fuel consumed,lanterns,PHB,102,LIGHT,TRUE,prose-sweep
item_magic_weapon,Magic Weapon,FEEDS_INTO,rule_light,Light,magic swords illuminate,,PHB,102,LIGHT,TRUE,prose-sweep
race_infravision,Infravision,GATES,ex_light_vision,Vision,sight without light,,PHB,102,INFRAVISION,TRUE,prose-sweep
rule_light,Light,OVERRIDES,race_infravision,Infravision,spoiled by illumination,,PHB,102,INFRAVISION,TRUE,prose-sweep
rule_heat,Heat,OVERRIDES,race_infravision,Infravision,spoiled by great heat,,PHB,102,INFRAVISION,TRUE,prose-sweep
race_infravision,Infravision,CONSTRAINS,thief_hide_in_shadows,Hide in Shadows,body heat betrays the thief,unless masked,PHB,102,INFRAVISION,TRUE,prose-sweep
rule_heat,Heat,MODIFIES,thief_hide_in_shadows,Hide in Shadows,masks body heat,versus infravision,PHB,102,INFRAVISION,TRUE,prose-sweep
rule_ultravision,Ultravision,GATES,ex_light_vision,Vision,sight in night darkness,,PHB,102,ULTRAVISION,TRUE,prose-sweep
thief_move_silently,Move Silently,GATES,cbt_surprise,Surprise,improved chance to surprise,,PHB,102,SILENT MOVEMENT,TRUE,prose-sweep
item_boots_elvenkind,Boots of Elvenkind,ALTERNATIVE_TO,thief_move_silently,Move Silently,silent movement by item,,PHB,102,SILENT MOVEMENT,TRUE,prose-sweep
rule_noise,Noise,OVERRIDES,cbt_surprise,Surprise,negates surprise chance,,PHB,102,SURPRISE,TRUE,prose-sweep
rule_light,Light,OVERRIDES,cbt_surprise,Surprise,negates surprise chance,,PHB,102,SURPRISE,TRUE,prose-sweep
cbt_surprise,Surprise,CONSUMES,time_segment_round_turn,Segment,segments lost by surprised party,,PHB,102,SURPRISE,TRUE,prose-sweep
monster_surprise,Monster Surprise Rating,MODIFIES,cbt_surprise,Surprise,better or worse than standard,,PHB,102,SURPRISE,TRUE,prose-sweep
cbt_surprise,Surprise,FEEDS_INTO,cbt_initiative,Initiative,free action during lost time,,PHB,102,SURPRISE,TRUE,prose-sweep
rule_awareness,Awareness,OVERRIDES,cbt_surprise,Surprise,cannot be surprised if aware,unless mutually unaware,PHB,103,SURPRISE,TRUE,prose-sweep
rule_invisibility,Invisibility,MODIFIES,cbt_surprise,Surprise,improves surprise chance,,PHB,102,INVISIBLE MOVEMENT,TRUE,prose-sweep
